full_name,primary_channel,primary_match_reason,primary_confidence,all_channels,channel_count
fdp_dev_std_internal.std_internal_jde.supplier_master,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.supplier_master_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.supplier_price_catalog_file__f41061,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.supplier_price_catalog_file__f41061_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_code_types,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_code_types_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_code_values,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_code_values_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_codes_types,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_codes_types_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_codes_values,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_codes_values1,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_codes_values1_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.user_defined_codes_values_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.account_assignment_in_purchasing_document__ekkn,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.account_group_names_t077d__t077x,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.account_group_names_t077d__t077x_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.account_group_names_t077s__t077z,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.account_group_names_t077s__t077z_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.account_group_names_table_t077k__t077y,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.account_group_names_table_t077k__t077y_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.accounting_clerks__t001s,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.accounting_clerks__t001s_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.accounting_document_header__bkpf,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.accounting_secondary_index_for_customers__bsid,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.accounting_secondary_index_for_customers_cleared_items__bsad,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.accounting_secondary_index_for_vendors__bsik,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.accounting_secondary_index_for_vendors_cleared_items__bsak,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.action_box_text_table__tq85_t,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.action_box_text_table__tq85_t_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.activity_type_texts__cslt,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.activity_type_texts__cslt_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.addresses_business_address_services__adrc,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.addresses_business_address_services__adrc_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.agreements__kona,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.agreements__kona_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocation_assessement_cost_elements_for_alloc_structure__tkb5al,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocation_assessement_cost_elements_for_alloc_structure__tkb5al_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
