node,is_seed,first_seen_hop,first_seen_dir,n_upstream,n_upstream_mainland,n_downstream,n_downstream_mainland,mainland_in_ratio,mainland_out_ratio,bridge_score,category,sep_business_entity,sep_location,sep_employee,sep_customer,sep_material,sep_sales_org,catalog,schema,table_name
fdp_dev_srv_internal.srv_internal_jde.dim_user_defined_codes_types,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_jde,dim_user_defined_codes_types
fdp_dev_srv_internal.srv_internal_jde.fact_account_ledger,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_jde,fact_account_ledger
fdp_dev_srv_internal.srv_internal_korora.delivery_check_mainland,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_korora,delivery_check_mainland
fdp_dev_srv_internal.srv_internal_korora.shipment_container_tracking_summary_mainland,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_korora,shipment_container_tracking_summary_mainland
fdp_dev_srv_internal.srv_internal_korora.vw_delivery_check_mainland,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_korora,vw_delivery_check_mainland
fdp_dev_srv_internal.srv_internal_korora.vw_shipment_container_tracking_summary_mainland,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_korora,vw_shipment_container_tracking_summary_mainland
fdp_dev_srv_internal.srv_internal_mainland.fact_mld_mainland_org,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_mainland,fact_mld_mainland_org
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_conditions_batch_strategy_data_division,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_conditions_batch_strategy_data_division
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer_condition_records_for_pricing,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_customer_condition_records_for_pricing
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer_group,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_customer_group
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer_group_material,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_customer_group_material
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer_material,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_customer_material
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_material_strategytype,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_material_strategytype
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_profit_ctr_text,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_profit_ctr_text
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_ship_to_material_strategytype,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_ship_to_material_strategytype
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_storage_loc,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_storage_loc
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_wm_status_text,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,dim_wm_status_text
fdp_dev_srv_internal.srv_internal_sapanzecc.distribution_channel,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,distribution_channel
